territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Tanger-Assilah,tanger assilah,sante,total_general,40,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,2.0
Tétouan,tetouan,sante,essp_csr1,17,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_csr2,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_dr,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_total,21,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_csu1,18,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_csu2,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_urbain_total,19,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,essp_total_global,40,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,crsr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,lsp_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,structures_appui_total,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
Tétouan,tetouan,sante,total_general,43,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,4.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_csr1,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_csr2,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_dr,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_total,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_csu1,6,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_csu2,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_urbain_total,7,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,essp_total_global,9,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,crsr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,lsp_total,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,structures_appui_total,2,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
M'Diq-Fnideq,m'diq fnideq,sante,total_general,11,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,3.0
