id,nom,theme,couv,zeros,taux,vmin,vmax
365,Tôle en ciment ou en zinc,socio_economic,37,8,%,0.0,4.9
366,Villa ou niveau de villa,socio_economic,37,2,%,0.0,4.0
367,internet_utilisation_pct_5ansplus,socio_economic,0,0,%,,
368,ordinateur_personnel_pct_5ansplus,socio_economic,0,0,%,,
369,telephone_mobile_pct_5ansplus,socio_economic,0,0,%,,
370,ordinateur_personnel_pct_5ansplus,socio_economic,0,0,,,
371,internet_utilisation_pct_5ansplus,socio_economic,0,0,,,
372,telephone_mobile_pct_5ansplus,socio_economic,0,0,,,
373,internet_utilisation_pct_5ansplus,socio_economic,0,0,%,,
374,ordinateur_personnel_pct_5ansplus,socio_economic,0,0,%,,
375,telephone_mobile_pct_5ansplus,socio_economic,0,0,%,,
376,Langues locales utilisées (non exclusives) (%) - Dar,socio_economic,146,0,%,11.6,99.9
377,Langues locales utilisées (non exclusives) (%) - Has,socio_economic,146,85,%,0.0,0.4
378,Langues locales utilisées (non exclusives) (%) - Tac,socio_economic,146,11,%,0.0,6.6
379,Langues locales utilisées (non exclusives) (%) - Tam,socio_economic,146,43,%,0.0,19.6
380,Langues locales utilisées (non exclusives) (%) - Tar,socio_economic,146,27,%,0.0,99.0
381,Population active de 15 ans et plus,socio_economic,146,0,,644.0,489284.0
382,Population active occupée de 15 ans et plus,socio_economic,146,0,,163.0,414399.0
383,Population inactive de 15 ans et plus,socio_economic,146,0,,855.0,449985.0
384,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,1,%,0.0,57.2
385,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,38,%,0.0,5.6
386,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,9,%,0.0,35.8
387,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,3,%,0.0,15.1
388,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,11,%,0.0,13.3
389,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,0,%,12.7,71.3
390,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,0,%,1.9,70.7
391,Statut professionnel des actifs occupés de 15 ans et,socio_economic,146,0,%,1.1,39.5
392,Taux d'activité des 15 ans et plus (%),socio_economic,146,0,%,20.7,71.7
393,Taux de chômage (%),socio_economic,146,0,%,0.7,80.2
394,Taux de prévalence du handicap (%),socio_economic,146,0,%,2.6,12.8
395,Nombre d'établissements de soins primaires (ESSP),health,0,0,,,
396,Nombre d'hôpitaux,health,0,0,%,,
397,Nombre de médecins (secteur public),health,0,0,,,
398,Personnel paramédical (secteur public),health,0,0,,,
399,Médecins pour 10 000 habitants,health,0,0,,,
400,Personnel paramédical pour 10 000 habitants,health,0,0,,,
401,ESSP pour 100 000 habitants,health,0,0,,,
402,Population urbaine (RGPH 2024),demography,0,0,,,
403,Population rurale (RGPH 2024),demography,0,0,,,
404,Taux d'urbanisation,demography,0,0,%,,
405,Accès aux soins — distance moyenne au centre de sant,demography,129,0,,2.8,31.2
406,Enclavement routier — distance moyenne à la route go,demography,129,1,,0.0,10.3
407,Accès à l'école primaire — distance moyenne (commune,demography,129,0,,0.5,5.8
408,Accès au collège — distance moyenne (commune rurale),demography,129,0,,2.9,16.3
409,Part des douars à plus de 5 km d'un centre de santé,demography,129,2,%,0.0,92.9
