indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
120,Nombre d'établissements primaire,education,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements primaire,territoire_id,nombre
121,Nombre d'établissements qualifiant,education,education_indicateur_nombre_etablissements_commune,long,valeur,Nombre d'établissements qualifiant,territoire_id,nombre
122,Cliniques privées par province (ou préfecture) : Privé,health,health_sante_10_cliniques_privees_par_province_ou_prefecture,long,valeur,Cliniques privées par province (ou préfecture) : Privé,territoire_id,
123,Cabinets de chirurgie dentaire par province (ou préfecture,health,health_sante_11_cabinets_de_chirurgie_dentaire_par_province_,long,valeur,Cabinets de chirurgie dentaire par province (ou préfecture,territoire_id,
124,Officines de pharmacie par province (ou préfecture) : Priv,health,health_sante_12_officines_de_pharmacie_par_province_ou_prefe,long,valeur,Officines de pharmacie par province (ou préfecture) : Priv,territoire_id,
125,Laboratoires d'analyses médicales par province (ou préfect,health,health_sante_13_laboratoires_d_analyses_medicales_par_provin,long,valeur,Laboratoires d'analyses médicales par province (ou préfect,territoire_id,
126,Autre,health,health_sante_14_personnel_paramedical_par_province_ou_prefec,long,valeur,Autre,territoire_id,
127,Infirmier polyvalent,health,health_sante_14_personnel_paramedical_par_province_ou_prefec,long,valeur,Infirmier polyvalent,territoire_id,
128,Sage femme,health,health_sante_14_personnel_paramedical_par_province_ou_prefec,long,valeur,Sage femme,territoire_id,
129,Total Paramédical,health,health_sante_14_personnel_paramedical_par_province_ou_prefec,long,valeur,Total Paramédical,territoire_id,
130,Autre,health,health_sante_15_personnel_paramedical_exercant_dans_le_ressp,long,valeur,Autre,territoire_id,
131,Infirmier polyvalent,health,health_sante_15_personnel_paramedical_exercant_dans_le_ressp,long,valeur,Infirmier polyvalent,territoire_id,
132,Sage femme,health,health_sante_15_personnel_paramedical_exercant_dans_le_ressp,long,valeur,Sage femme,territoire_id,
133,Total général,health,health_sante_15_personnel_paramedical_exercant_dans_le_ressp,long,valeur,Total général,territoire_id,
134,Ensemble,health,health_sante_16_consultations_curatives_realisees_dans_les_f,long,valeur,Ensemble,territoire_id,
135,Rural,health,health_sante_16_consultations_curatives_realisees_dans_les_f,long,valeur,Rural,territoire_id,
136,Urbain,health,health_sante_16_consultations_curatives_realisees_dans_les_f,long,valeur,Urbain,territoire_id,
137,Ensemble,health,health_sante_17_consultations_prenatales_par_milieu_et_par_p,long,valeur,Ensemble,territoire_id,
138,Rural,health,health_sante_17_consultations_prenatales_par_milieu_et_par_p,long,valeur,Rural,territoire_id,
139,Urbain,health,health_sante_17_consultations_prenatales_par_milieu_et_par_p,long,valeur,Urbain,territoire_id,
140,Césarienne,health,health_sante_18_accouchements_au_sein_des_formations_sanitai,long,valeur,Césarienne,territoire_id,
141,Mort-nés,health,health_sante_18_accouchements_au_sein_des_formations_sanitai,long,valeur,Mort-nés,territoire_id,
142,Mères décédées,health,health_sante_18_accouchements_au_sein_des_formations_sanitai,long,valeur,Mères décédées,territoire_id,
143,Nés vivants,health,health_sante_18_accouchements_au_sein_des_formations_sanitai,long,valeur,Nés vivants,territoire_id,
144,Total,health,health_sante_18_accouchements_au_sein_des_formations_sanitai,long,valeur,Total,territoire_id,
145,Autres,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Autres,territoire_id,
146,Condom,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Condom,territoire_id,
147,DIU,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,DIU,territoire_id,
148,Injections,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Injections,territoire_id,
149,Pilules,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Pilules,territoire_id,
150,Total,health,health_sante_19_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Total,territoire_id,
151,Enfants de 12 à 23 mois - Ensemble,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de 12 à 23 mois - Ensemble,territoire_id,
152,Enfants de 12 à 23 mois - Rural,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de 12 à 23 mois - Rural,territoire_id,
153,Enfants de 12 à 23 mois - Urbain,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de 12 à 23 mois - Urbain,territoire_id,
154,Enfants de moins d'un an - Ensemble,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins d'un an - Ensemble,territoire_id,
155,Enfants de moins d'un an - Rural,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins d'un an - Rural,territoire_id,
156,Enfants de moins d'un an - Urbain,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins d'un an - Urbain,territoire_id,
157,Enfants de moins de 5 ans - Ensemble,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins de 5 ans - Ensemble,territoire_id,
158,Enfants de moins de 5 ans - Rural,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins de 5 ans - Rural,territoire_id,
159,Enfants de moins de 5 ans - Urbain,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Enfants de moins de 5 ans - Urbain,territoire_id,
160,Naissances attendues - Ensemble,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Naissances attendues - Ensemble,territoire_id,
161,Naissances attendues - Rural,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Naissances attendues - Rural,territoire_id,
162,Naissances attendues - Urbain,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Naissances attendues - Urbain,territoire_id,
163,Population totale - Ensemble,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Population totale - Ensemble,territoire_id,
164,Population totale - Rural,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Population totale - Rural,territoire_id,
165,Population totale - Urbain,health,health_sante_1_populations_cibles_des_programmes_de_sante_pa,long,valeur,Population totale - Urbain,territoire_id,
166,Autre,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Autre,territoire_id,
167,Condom,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Condom,territoire_id,
168,DIU,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,DIU,territoire_id,
169,Injections,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Injections,territoire_id,
170,Pilules,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Pilules,territoire_id,
171,Total,health,health_sante_20_nombre_de_femmes_beneficiaires_des_prestatio,long,valeur,Total,territoire_id,
172,B.C.G,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,B.C.G,territoire_id,
173,DTCP1,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,DTCP1,territoire_id,
174,DTCP2,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,DTCP2,territoire_id,
175,DTCP3,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,DTCP3,territoire_id,
176,Polio,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,Polio,territoire_id,
177,RR1,health,health_sante_21_nombre_d_enfants_beneficiaires_des_prestatio,long,valeur,RR1,territoire_id,
178,Degré de déshydratation - (A),health,health_sante_22_enfants_beneficiaires_du_pnlmd_par_province_,long,valeur,Degré de déshydratation - (A),territoire_id,
179,Degré de déshydratation - (B),health,health_sante_22_enfants_beneficiaires_du_pnlmd_par_province_,long,valeur,Degré de déshydratation - (B),territoire_id,
180,Degré de déshydratation - (C),health,health_sante_22_enfants_beneficiaires_du_pnlmd_par_province_,long,valeur,Degré de déshydratation - (C),territoire_id,
181,Diarhée Persistante,health,health_sante_22_enfants_beneficiaires_du_pnlmd_par_province_,long,valeur,Diarhée Persistante,territoire_id,
182,Dysentérie,health,health_sante_22_enfants_beneficiaires_du_pnlmd_par_province_,long,valeur,Dysentérie,territoire_id,
183,Admissions*,health,health_sante_23_mouvements_des_malades_dans_les_hopitaux_pub,long,valeur,Admissions*,territoire_id,
184,Capacité (1) Fonctionnelle,health,health_sante_23_mouvements_des_malades_dans_les_hopitaux_pub,long,valeur,Capacité (1) Fonctionnelle,territoire_id,
185,Journées d'hospitalisation,health,health_sante_23_mouvements_des_malades_dans_les_hopitaux_pub,long,valeur,Journées d'hospitalisation,territoire_id,
186,Nombre d'établissements,health,health_sante_23_mouvements_des_malades_dans_les_hopitaux_pub,long,valeur,Nombre d'établissements,territoire_id,
187,Durée moyenne de séjour (jour),health,health_sante_24_statistiques_d_occupation_des_lits_des_hopit,long,valeur,Durée moyenne de séjour (jour),territoire_id,
188,Intervalle de rotation (jour),health,health_sante_24_statistiques_d_occupation_des_lits_des_hopit,long,valeur,Intervalle de rotation (jour),territoire_id,
189,Taux de rotation des lits (1),health,health_sante_24_statistiques_d_occupation_des_lits_des_hopit,long,valeur,Taux de rotation des lits (1),territoire_id,
190,Taux moyen d'occupation (%),health,health_sante_24_statistiques_d_occupation_des_lits_des_hopit,long,valeur,Taux moyen d'occupation (%),territoire_id,
191,Nombre d'établissements,health,health_sante_25_consultations_medicales_specialisees_realise,long,valeur,Nombre d'établissements,territoire_id,
192,Total de consultations,health,health_sante_25_consultations_medicales_specialisees_realise,long,valeur,Total de consultations,territoire_id,
