province_prefecture,commune_rurale,nb_douars,menages_total,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
 الحسيمة  Al Hoceima,Ait Youssef Ou Ali أيت يوسف وعلي,10.0,2406.0,4.5,4.8,1.3,2.5,4.1,40.0,112.0
Tanger-Assilah طنجة - أصيلة ,Sidi Lyamani سيدي اليمني,21.0,2108.0,4.5,3.5,0.8,1.8,4.4,28.6,45.0
وزان Ouazzane,Ounnana ونانة,25.0,3185.0,4.4,3.7,1.4,2.0,4.6,36.0,170.0
 الحسيمة  Al Hoceima,Sidi Bouzineb سيدي بوزينب,16.0,598.0,4.4,0.6,1.9,1.8,4.4,25.0,121.0
Tétouan تطوان,Dar Bni Karrich دار بني قريش,4.0,1389.0,4.0,3.4,0.0,1.6,3.2,25.0,67.0
Tétouan تطوان,Jbel Lahbib جبل لحبيب,14.0,714.0,4.0,2.2,1.1,2.0,3.9,28.6,55.0
شفشاون Chefchaouen,Tizgane تزكان,34.0,2804.0,3.8,2.0,3.0,1.1,5.5,35.3,160.0
Tétouan تطوان,Bni Said Bni Said بني سعيد,35.0,2358.0,3.5,0.9,1.3,0.9,3.5,25.7,71.0
 الحسيمة  Al Hoceima,Louta لوطا,11.0,1050.0,3.2,3.2,0.9,1.5,2.9,0.0,113.0
M'diq Fnideq المضيق - الفنيدق,Belyounech بليونش,5.0,1221.0,3.1,4.0,1.1,1.6,2.3,40.0,50.0
Tétouan تطوان,Zaitoune الزيتون,17.0,3192.0,3.1,2.1,0.3,1.1,3.3,29.4,70.0
فحص - انجرة Fahs-Anjra,Al Bahraoyine البحراويين,8.0,2387.0,3.1,4.8,0.3,0.8,2.3,25.0,74.0
 الحسيمة  Al Hoceima,Izemmouren ازمورن,8.0,1682.0,2.5,2.8,0.6,1.5,2.4,0.0,118.0
