code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
15110105.0,Arrondissement de Mghogha,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,180.0,102
15110105.0,Arrondissement de Mghogha,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,20.1,tanger assilah,180.0,103
15110105.0,Arrondissement de Mghogha,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,53.7,tanger assilah,180.0,105
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,27.0,tanger assilah,180.0,106
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.5,tanger assilah,180.0,108
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Primaire,26.5,tanger assilah,180.0,107
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,20.3,tanger assilah,180.0,109
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,14.5,tanger assilah,180.0,110
15110105.0,Arrondissement de Mghogha,Ensemble,Niveau d'études dans l'enseignement général (%) - Supérieur,10.3,tanger assilah,180.0,111
15110105.0,Arrondissement de Mghogha,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.8,tanger assilah,180.0,115
15110105.0,Arrondissement de Mghogha,Masculin,Taux d'analphabétisme des 10 ans et plus (%),8.7,tanger assilah,180.0,113
15110105.0,Arrondissement de Mghogha,Masculin,Taux d'analphabétisme des 15 ans et plus (%),9.7,tanger assilah,180.0,114
15110105.0,Arrondissement de Mghogha,Masculin,Population alphabète de 10 ans et plus,96137.0,tanger assilah,180.0,112
15110105.0,Arrondissement de Mghogha,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.5,tanger assilah,180.0,104
15110105.0,Arrondissement de Mghogha,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,180.0,102
15110105.0,Arrondissement de Mghogha,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,18.9,tanger assilah,180.0,103
15110105.0,Arrondissement de Mghogha,Masculin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,52.3,tanger assilah,180.0,105
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,23.5,tanger assilah,180.0,106
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.7,tanger assilah,180.0,108
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Primaire,26.7,tanger assilah,180.0,107
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,23.0,tanger assilah,180.0,109
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,14.8,tanger assilah,180.0,110
15110105.0,Arrondissement de Mghogha,Masculin,Niveau d'études dans l'enseignement général (%) - Supérieur,10.2,tanger assilah,180.0,111
15110105.0,Arrondissement de Mghogha,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.0,tanger assilah,180.0,115
15110105.0,Arrondissement de Mghogha,Féminin,Taux d'analphabétisme des 10 ans et plus (%),21.5,tanger assilah,180.0,113
15110105.0,Arrondissement de Mghogha,Féminin,Taux d'analphabétisme des 15 ans et plus (%),23.9,tanger assilah,180.0,114
15110105.0,Arrondissement de Mghogha,Féminin,Population alphabète de 10 ans et plus,80714.0,tanger assilah,180.0,112
15110105.0,Arrondissement de Mghogha,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.5,tanger assilah,180.0,104
15110105.0,Arrondissement de Mghogha,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,180.0,102
15110105.0,Arrondissement de Mghogha,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,21.6,tanger assilah,180.0,103
15110105.0,Arrondissement de Mghogha,Féminin,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,55.4,tanger assilah,180.0,105
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,30.5,tanger assilah,180.0,106
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.3,tanger assilah,180.0,108
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Primaire,26.2,tanger assilah,180.0,107
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,17.6,tanger assilah,180.0,109
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,14.1,tanger assilah,180.0,110
15110105.0,Arrondissement de Mghogha,Féminin,Niveau d'études dans l'enseignement général (%) - Supérieur,10.3,tanger assilah,180.0,111
15110106.0,Arrondissement de Souani,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.8,tanger assilah,181.0,115
15110106.0,Arrondissement de Souani,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),10.9,tanger assilah,181.0,113
15110106.0,Arrondissement de Souani,Ensemble,Taux d'analphabétisme des 15 ans et plus (%),11.9,tanger assilah,181.0,114
15110106.0,Arrondissement de Souani,Ensemble,Population alphabète de 10 ans et plus,85979.0,tanger assilah,181.0,112
15110106.0,Arrondissement de Souani,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.3,tanger assilah,181.0,104
15110106.0,Arrondissement de Souani,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),0.9,tanger assilah,181.0,102
15110106.0,Arrondissement de Souani,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,26.8,tanger assilah,181.0,103
15110106.0,Arrondissement de Souani,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,61.8,tanger assilah,181.0,105
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,20.2,tanger assilah,181.0,106
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.1,tanger assilah,181.0,108
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Primaire,23.2,tanger assilah,181.0,107
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,18.5,tanger assilah,181.0,109
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,18.3,tanger assilah,181.0,110
15110106.0,Arrondissement de Souani,Ensemble,Niveau d'études dans l'enseignement général (%) - Supérieur,18.6,tanger assilah,181.0,111
15110106.0,Arrondissement de Souani,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.5,tanger assilah,181.0,115
15110106.0,Arrondissement de Souani,Masculin,Taux d'analphabétisme des 10 ans et plus (%),5.2,tanger assilah,181.0,113
15110106.0,Arrondissement de Souani,Masculin,Taux d'analphabétisme des 15 ans et plus (%),5.7,tanger assilah,181.0,114
