code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.7,tanger assilah,34.0,385
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,2.7,tanger assilah,34.0,387
1511010.0,Commune de Tanger,Masculin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,2.3,tanger assilah,34.0,386
1511010.0,Commune de Tanger,Féminin,Taux de prévalence du handicap (%),3.7,tanger assilah,34.0,394
1511010.0,Commune de Tanger,Féminin,Langues locales utilisées (non exclusives) (%) - Darija,98.4,tanger assilah,34.0,376
1511010.0,Commune de Tanger,Féminin,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.4,tanger assilah,34.0,378
1511010.0,Commune de Tanger,Féminin,Langues locales utilisées (non exclusives) (%) - Tamazight,1.2,tanger assilah,34.0,379
1511010.0,Commune de Tanger,Féminin,Langues locales utilisées (non exclusives) (%) - Tarifit,4.8,tanger assilah,34.0,380
1511010.0,Commune de Tanger,Féminin,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,34.0,377
1511010.0,Commune de Tanger,Féminin,Population active de 15 ans et plus,138682.0,tanger assilah,34.0,381
1511010.0,Commune de Tanger,Féminin,Population inactive de 15 ans et plus,328528.0,tanger assilah,34.0,383
1511010.0,Commune de Tanger,Féminin,Taux d'activité des 15 ans et plus (%),29.7,tanger assilah,34.0,392
1511010.0,Commune de Tanger,Féminin,Taux de chômage (%),17.7,tanger assilah,34.0,393
1511010.0,Commune de Tanger,Féminin,Population active occupée de 15 ans et plus,114125.0,tanger assilah,34.0,382
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,1.5,tanger assilah,34.0,388
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,6.8,tanger assilah,34.0,389
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,10.4,tanger assilah,34.0,391
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,78.4,tanger assilah,34.0,390
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.7,tanger assilah,34.0,384
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.3,tanger assilah,34.0,385
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,0.7,tanger assilah,34.0,387
1511010.0,Commune de Tanger,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,1.3,tanger assilah,34.0,386
15110105.0,Arrondissement de Mghogha,Ensemble,Taux de prévalence du handicap (%),4.1,tanger assilah,180.0,394
15110105.0,Arrondissement de Mghogha,Ensemble,Langues locales utilisées (non exclusives) (%) - Darija,98.8,tanger assilah,180.0,376
15110105.0,Arrondissement de Mghogha,Ensemble,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.6,tanger assilah,180.0,378
15110105.0,Arrondissement de Mghogha,Ensemble,Langues locales utilisées (non exclusives) (%) - Tamazight,1.4,tanger assilah,180.0,379
15110105.0,Arrondissement de Mghogha,Ensemble,Langues locales utilisées (non exclusives) (%) - Tarifit,4.8,tanger assilah,180.0,380
15110105.0,Arrondissement de Mghogha,Ensemble,Langues locales utilisées (non exclusives) (%) - Hassania,0.0,tanger assilah,180.0,377
15110105.0,Arrondissement de Mghogha,Ensemble,Population active de 15 ans et plus,97181.0,tanger assilah,180.0,381
15110105.0,Arrondissement de Mghogha,Ensemble,Population inactive de 15 ans et plus,88225.0,tanger assilah,180.0,383
15110105.0,Arrondissement de Mghogha,Ensemble,Taux d'activité des 15 ans et plus (%),52.4,tanger assilah,180.0,392
15110105.0,Arrondissement de Mghogha,Ensemble,Taux de chômage (%),16.5,tanger assilah,180.0,393
15110105.0,Arrondissement de Mghogha,Ensemble,Population active occupée de 15 ans et plus,81152.0,tanger assilah,180.0,382
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,2.4,tanger assilah,180.0,388
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,16.0,tanger assilah,180.0,389
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,6.8,tanger assilah,180.0,391
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,69.3,tanger assilah,180.0,390
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,0.7,tanger assilah,180.0,384
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.6,tanger assilah,180.0,385
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,1.9,tanger assilah,180.0,387
15110105.0,Arrondissement de Mghogha,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,2.3,tanger assilah,180.0,386
15110105.0,Arrondissement de Mghogha,Masculin,Taux de prévalence du handicap (%),4.1,tanger assilah,180.0,394
15110105.0,Arrondissement de Mghogha,Masculin,Langues locales utilisées (non exclusives) (%) - Darija,98.8,tanger assilah,180.0,376
15110105.0,Arrondissement de Mghogha,Masculin,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.7,tanger assilah,180.0,378
15110105.0,Arrondissement de Mghogha,Masculin,Langues locales utilisées (non exclusives) (%) - Tamazight,1.5,tanger assilah,180.0,379
15110105.0,Arrondissement de Mghogha,Masculin,Langues locales utilisées (non exclusives) (%) - Tarifit,4.6,tanger assilah,180.0,380
